nam1	clump	country	mn	se	count	latitude	latrank	totcount	nam2	rank_set11	rank_set6	rank_set6_2	nam3	nam4	nam5	nam_set4	se2
famest	clump 0.01	Netherlands	1.2962787218003269	0.15085707269470097	17	52.1	16	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.10792613616967393
famest	clump 0.01	Poland	0.8208527048091887	0.11718762184060096	22	51.9	15	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.09485637503228574
famest	clump 0.01	Portugal	-0.7281802310973332	0.03674947752717726	135	39.3	1	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.03826341586921123
famest	clump 0.01	Romania	-0.62288201788958375	0.1461639293660531	14	45.9	5	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.11885831064417829
famest	clump 0.01	Spain	-0.6125311852961061	0.04094377892856559	137	40.4	2	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.03797991417523165
famest	clump 0.01	Sweden	1.2306372485397108	0.2952458619752252	11	60.1	19	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.13410133369905564
famest	clump 0.01	Swiss-French	-0.004933240333383012	0.019403852255112083	760	46.5	7	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.016104414159336906
famest	clump 0.01	Swiss-German	0.23818013220662745	0.06141854881999376	84	47.3	10	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.04856842626006631
famest	clump 0.01	Switzerland	0.02464732127259818	0.04157283093775609	168	46.8	8	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.03438743970333479
famest	clump 0.01	United Kingdom	0.9683610217375223	0.03439393596432608	390	55.3	18	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.022573844560062572
famest	clump 0.01	Yugoslavia	-0.9993004651160577	0.11485281614332851	44	43.9	4	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.06680386426016932
famest	clumpwindow 1.5M	Austria	0.35717613387510844	0.21964755311421177	14	47.5	11	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.1853568669073872
famest	clumpwindow 1.5M	Belgium	0.634893232229755	0.1018396696586795	43	50.5	13	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.10711985281380247
famest	clumpwindow 1.5M	Czech Republic	0.5610440344979376	0.1677570484704827	11	49.8	12	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.2100321803419598
famest	clumpwindow 1.5M	France	-0.0037704456137274997	0.08499906431915015	92	46.2	6	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.07324020387704767
famest	clumpwindow 1.5M	Germany	0.7410346898060761	0.09829632288449557	75	51.1	14	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.08132624049079762
famest	clumpwindow 1.5M	Hungary	0.052696979495514044	0.14969060641193452	19	47.1	9	2323	NG2015 sibs	9	3	2	 9. NG2015 sibs	3. NG2015 sibs	2. NG2015 sibs	NA.~paste(.)~NG2015~sibs	0.16043683352278912
