nam1	gbrbin	tsibin	count	mb	mb_scaled	nam2	mb_scaled_na	gbr_binmean	tsi_binmean
giant	(0.143,0.157]	(0.265,0.281]	799	-0.002572841051314143	-0.3106411306483478	beta~GIANT	-0.3106411306483478	0.15	0.27
giant	(0.143,0.157]	(0.281,0.298]	521	-0.0012585412667946258	-0.12966189837427705	beta~GIANT	-0.12966189837427705	0.15	0.29
giant	(0.143,0.157]	(0.298,0.316]	205	-0.0025190243902439026	-0.3032305701972506	beta~GIANT	NA	0.15	0.31
giant	(0.143,0.157]	(0.316,0.337]	100	-7.07e-4	-0.05371460217316632	beta~GIANT	NA	0.15	0.33
giant	(0.143,0.157]	(0.337,0.352]	28	-0.0022535714285714286	-0.2666776666860279	beta~GIANT	NA	0.15	0.34
giant	(0.143,0.157]	(0.352,0.371]	20	-0.008155	-1.0793050632338121	beta~GIANT	NA	0.15	0.36
giant	(0.143,0.157]	(0.371,0.388]	15	0.0011866666666666666	0.20704351675296728	beta~GIANT	NA	0.15	0.38
giant	(0.143,0.157]	(0.388,0.408]	16	-0.00424375	-0.540725486055583	beta~GIANT	NA	0.15	0.4
giant	(0.143,0.157]	(0.408,0.427]	30	-0.009923333333333333	-1.3228047676702035	beta~GIANT	NA	0.15	0.42
giant	(0.143,0.157]	(0.427,0.444]	13	-0.011615384615384614	-1.5558004248261155	beta~GIANT	NA	0.15	0.44
giant	(0.143,0.157]	(0.444,0.464]	5	-0.0116	-1.5536819615090438	beta~GIANT	NA	0.15	0.45
giant	(0.157,0.169]	[0,0.0459]	85	0.003549411764705882	0.5323937899090925	beta~GIANT	NA	0.16	0.02
giant	(0.157,0.169]	(0.0459,0.0618]	415	0.0019949397590361445	0.31834281501641076	beta~GIANT	0.31834281501641076	0.16	0.05
giant	(0.157,0.169]	(0.0618,0.0765]	802	0.001063216957605985	0.19004447754333423	beta~GIANT	0.19004447754333423	0.16	0.07
giant	(0.157,0.169]	(0.0765,0.0899]	1095	0.001589406392694064	0.2625008235875372	beta~GIANT	0.2625008235875372	0.16	0.08
giant	(0.157,0.169]	(0.0899,0.101]	1695	8.348672566371681e-4	0.15860069732049997	beta~GIANT	0.15860069732049997	0.16	0.1
giant	(0.157,0.169]	(0.101,0.112]	3537	9.262086513994911e-4	0.1711784179392182	beta~GIANT	0.1711784179392182	0.16	0.11
giant	(0.157,0.169]	(0.112,0.129]	4884	3.621621621621622e-4	0.09350915116202287	beta~GIANT	0.09350915116202287	0.16	0.12
giant	(0.157,0.169]	(0.129,0.143]	5597	-1.7755940682508486e-4	0.019189428715459242	beta~GIANT	0.019189428715459242	0.16	0.14
giant	(0.157,0.169]	(0.143,0.157]	5276	-3.326762699014405e-4	-0.002170181263160611	beta~GIANT	-0.002170181263160611	0.16	0.15
giant	(0.157,0.169]	(0.157,0.169]	7317	-6.652589859231925e-4	-0.04796685970912604	beta~GIANT	-0.04796685970912604	0.16	0.16
